,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Milwaukee Bucks,E,C,60,22,.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66
2,Golden State Warriors,W,P,57,25,.695,6.46,116.63,110.24,6.39,6.42,116.60,110.24,6.37
3,Toronto Raptors,E,A,58,24,.707,6.09,113.99,108.00,5.99,5.49,113.78,108.40,5.38
4,Utah Jazz,W,NW,50,32,.610,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28
5,Houston Rockets,W,SW,53,29,.646,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03
6,Portland Trail Blazers,W,NW,53,29,.646,4.20,115.45,111.07,4.38,4.44,115.63,111.01,4.62
7,Denver Nuggets,W,NW,54,28,.659,3.95,113.76,109.62,4.14,4.20,113.74,109.35,4.39
8,Boston Celtics,E,A,49,33,.598,4.44,112.78,108.35,4.43,3.90,112.57,108.69,3.88
9,Oklahoma City Thunder,W,NW,49,33,.598,3.40,110.85,107.53,3.31,3.56,110.71,107.22,3.49
10,Indiana Pacers,E,C,48,34,.585,3.33,110.62,107.23,3.39,2.76,110.31,107.50,2.80
11,Philadelphia 76ers,E,A,51,31,.622,2.70,113.21,110.58,2.64,2.26,113.16,110.97,2.19
12,San Antonio Spurs,W,SW,48,34,.585,1.68,113.30,111.55,1.75,1.81,113.30,111.42,1.88
13,Los Angeles Clippers,W,P,48,34,.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06
14,Orlando Magic,E,SE,42,40,.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21
15,Miami Heat,E,SE,39,43,.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36
16,Brooklyn Nets,E,A,42,40,.512,-0.07,110.30,110.36,-0.06,-0.40,110.15,110.56,-0.41
17,Detroit Pistons,E,C,41,41,.500,-0.24,109.93,110.13,-0.20,-0.55,109.86,110.38,-0.53
18,Sacramento Kings,W,P,39,43,.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112.00,-0.71
19,Dallas Mavericks,W,SW,33,49,.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79
20,Minnesota Timberwolves,W,NW,36,46,.439,-1.50,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01
21,New Orleans Pelicans,W,SW,33,49,.402,-1.33,111.85,113.10,-1.25,-1.10,111.98,112.98,-1.01
22,Los Angeles Lakers,W,P,37,45,.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26
23,Charlotte Hornets,E,SE,39,43,.476,-1.10,112.10,113.16,-1.06,-1.31,112.11,113.41,-1.30
24,Memphis Grizzlies,W,SW,33,49,.402,-2.60,106.96,109.66,-2.70,-2.08,106.93,109.09,-2.17
25,Washington Wizards,E,SE,32,50,.390,-2.90,111.72,114.56,-2.84,-3.30,111.72,114.97,-3.25
26,Atlanta Hawks,E,SE,29,53,.354,-6.02,108.71,114.41,-5.70,-6.06,108.83,114.59,-5.76
27,Chicago Bulls,E,C,22,60,.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.90,-8.41
28,Phoenix Suns,W,P,19,63,.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52
29,New York Knicks,E,A,17,65,.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.30,-8.98
30,Cleveland Cavaliers,E,C,19,63,.232,-9.61,108.50,118.54,-10.04,-9.39,108.83,118.64,-9.82
